時間,位置,速度
0.12800000000000009,-0.027621046927715408,-3.494377186632469
0.1290000000000001,-0.031114871693409322,-3.493824765693915
0.1300000000000001,-0.03460807416166937,-3.493202468260047
0.1310000000000001,-0.038100584468446184,-3.4925103067768135
0.1320000000000001,-0.04159233276353363,-3.4917482950874446
0.1330000000000001,-0.045083249211965805,-3.490916448432174
0.1340000000000001,-0.04857326399541374,-3.4900147834479345
0.1350000000000001,-0.05206230731358177,-3.4890433181680263
0.1360000000000001,-0.05555030938560352,-3.4880020720217546
0.1370000000000001,-0.059037200451437566,-3.4868910658340426
0.1380000000000001,-0.06252291077326258,-3.485710321825014
0.1390000000000001,-0.06600737063687213,-3.4844598636095485
0.1400000000000001,-0.06949051035306894,-3.483139716196811
0.1410000000000001,-0.07297226025905869,-3.4817499059897496
0.1420000000000001,-0.07645255071984326,-3.4802904607845684
0.1430000000000001,-0.07993131212961344,-3.4787614097701716
0.1440000000000001,-0.08340847491314102,-3.477162783527579
0.1450000000000001,-0.08688396952717034,-3.475494614029316
0.1460000000000001,-0.09035772646180912,-3.473756934638773
0.1470000000000001,-0.09382967624191865,-3.471949780109537
0.1480000000000001,-0.09729974942850335,-3.4700731865846985
0.1490000000000001,-0.10076787662009948,-3.4681271915961283
0.1500000000000001,-0.1042339884541632,-3.4661118340637262
0.1510000000000001,-0.10769801560845785,-3.464027154294643
0.1520000000000001,-0.11115988880244032,-3.461873193982474
0.1530000000000001,-0.11461953879864675,-3.459649996206425
0.1540000000000001,-0.1180768964040772,-3.457357605430452
0.1550000000000001,-0.12153189247157957,-3.4549960675023703
0.1560000000000001,-0.12498445790123251,-3.452565429652939
0.1570000000000001,-0.12843452364172742,-3.450065740494914
0.1580000000000001,-0.1318820206917495,-3.4474970500220796
0.1590000000000001,-0.13532688010135774,-3.4448594096082448
0.16000000000000011,-0.13876903297336396,-3.4421528720062176
0.16100000000000012,-0.14220841046471072,-3.4393774913467503
0.16200000000000012,-0.14564494378784817,-3.436533323137456
0.16300000000000012,-0.14907856421210988,-3.4336204242616994
0.16400000000000012,-0.15250920306508733,-3.430638852977457
0.16500000000000012,-0.1559367917340035,-3.4275886689161554
0.16600000000000012,-0.15936126166708497,-3.4244699330814754
0.16700000000000012,-0.1627825443749331,-3.4212827078481336
0.16800000000000012,-0.16620057143189376,-3.418027056960635
0.16900000000000012,-0.16961527447742575,-3.414703045531997
0.17000000000000012,-0.1730265852174682,-3.4113107400424485
0.17100000000000012,-0.17643443542580628,-3.407850208338099
0.17200000000000013,-0.17983875694543586,-3.404321519629583
0.17300000000000013,-0.18323948168992654,-3.4007247444906743
0.17400000000000013,-0.1866365416447834,-3.397059954856876
0.17500000000000013,-0.19002986886880738,-3.39332722402398
0.17600000000000013,-0.19341939549545398,-3.389526626646604
0.17700000000000013,-0.19680505373419066,-3.3856582387366947
0.17800000000000013,-0.20018677587185268,-3.381722137662011
0.17900000000000013,-0.20356449427399725,-3.377718402144574
0.18000000000000013,-0.20693814138625635,-3.373647112259094
0.18100000000000013,-0.21030764973568772,-3.369508349431369
0.18200000000000013,-0.21367295193212438,-3.365302196436655
0.18300000000000013,-0.2170339806695224,-3.3610287373980126
0.18400000000000014,-0.22039066872730703,-3.356688057784622
0.18500000000000014,-0.22374294897171712,-3.352280244410076
0.18600000000000014,-0.22709075435714776,-3.3478053854306418
0.18700000000000014,-0.23043401792749127,-3.343263570343499
0.18800000000000014,-0.2337726728174762,-3.3386548899849493
0.18900000000000014,-0.23710665225400482,-3.3339794365285997
0.19000000000000014,-0.24043588955748835,-3.3292373034835196
0.19100000000000014,-0.24376031814318072,-3.32442858569237
0.19200000000000014,-0.24707987152251024,-3.3195533793295064
0.19300000000000014,-0.2503944833044093,-3.3146117818990564
0.19400000000000014,-0.2537040871966422,-3.309603892232968
0.19500000000000015,-0.25700861700713123,-3.304529810489035
0.19600000000000015,-0.26030800664528014,-3.2993896381488925
0.19700000000000015,-0.2636021901232961,-3.294183478015987
0.19800000000000015,-0.2668911015575096,-3.2889114342135213
0.19900000000000015,-0.27017467516969196,-3.283573612182371
0.20000000000000015,-0.27345284528837094,-3.278170118678977
0.20100000000000015,-0.2767255463501441,-3.2727010617732097
0.20200000000000015,-0.2799927129009903,-3.267166550846207
0.20300000000000015,-0.2832542795975785,-3.261566696588187
0.20400000000000015,-0.28651018120857474,-3.255901610996235
0.20500000000000015,-0.2897603526159468,-3.2501714073720636
0.20600000000000016,-0.29300472881626655,-3.2443762003197447
0.20700000000000016,-0.29624324492201,-3.2385161057434195
0.20800000000000016,-0.29947583616285495,-3.2325912408449793
0.20900000000000016,-0.30270243788697665,-3.226601724121722
0.21000000000000016,-0.30592298556234065,-3.220547675363983
0.21100000000000016,-0.3091374147779934,-3.214429215652736
0.21200000000000016,-0.31234566124535057,-3.2082464673571764
0.21300000000000016,-0.3155476607994828,-3.201999554132269
0.21400000000000016,-0.3187433494003991,-3.1956886009162795
0.21500000000000016,-0.3219326631343274,-3.1893137339282713
0.21600000000000016,-0.32511553821499295,-3.182875080665585
0.21700000000000016,-0.32829191098489424,-3.176372769901285
0.21800000000000017,-0.3314617179165758,-3.1698069316815873
0.21900000000000017,-0.3346248956138991,-3.1631776973232557
0.22000000000000017,-0.33778138081331005,-3.156485199410978
0.22100000000000017,-0.34093111038510476,-3.149729571794712
0.22200000000000017,-0.3440740213346918,-3.1429109495870096
0.22300000000000017,-0.3472100508038521,-3.1360294691603157
0.22400000000000017,-0.35033913607199635,-3.1290852681442387
0.22500000000000017,-0.35346121455741913,-3.122078485422799
0.22600000000000017,-0.3565762238185508,-3.1150092611316507
0.22700000000000017,-0.3596841015552061,-3.1078777366552797
0.22800000000000017,-0.36278478560983024,-3.1006840546241756
0.22900000000000018,-0.3658782139687422,-3.093428358911979
0.23000000000000018,-0.3689643247633748,-3.0861107946326043
0.23100000000000018,-0.37204305627151213,-3.078731508137337
0.23200000000000018,-0.375114346918524,-3.0712906470119066
0.23300000000000018,-0.37817813527859756,-3.063788360073536
0.23400000000000018,-0.3812343600759655,-3.056224797367964
0.23500000000000018,-0.38428296018613195,-3.048600110166445
0.23600000000000018,-0.38732387463709467,-3.040914450962722
0.23700000000000018,-0.39035704261056464,-3.0331679734699803
0.23800000000000018,-0.3933824034431824,-3.025360832617769
0.23900000000000018,-0.39639989662773134,-3.0174931845489055
0.24000000000000019,-0.39940946181434767,-3.0095651866163506
0.2410000000000002,-0.40241103881172774,-3.001576997380064
0.2420000000000002,-0.40540456758833154,-2.993528776603829
0.2430000000000002,-0.4083899882735836,-2.9854206852520626
0.2440000000000002,-0.4113672411590702,-2.9772528854865907
0.2450000000000002,-0.4143362666997336,-2.9690255406634094
0.2460000000000002,-0.41729700551506305,-2.9607388153294147
0.2470000000000002,-0.42024939839028214,-2.9523928752191133
0.2480000000000002,-0.42319338627753345,-2.943987887251308
0.2490000000000002,-0.4261289102970592,-2.935524019525757
0.25000000000000017,-0.429055911738379,-2.927001441319816
0.25100000000000017,-0.431974332061464,-2.9184203230850483
0.25200000000000017,-0.43488411289790785,-2.909780836443819
0.25300000000000017,-0.4377851960520937,-2.901083154185861
0.25400000000000017,-0.4406775235023585,-2.892327450264819
0.25500000000000017,-0.4435610374021533,-2.883513899794772
0.25600000000000017,-0.44643568008120005,-2.8746426790467288
0.2570000000000002,-0.44930139404664515,-2.8657139654451047
0.2580000000000002,-0.45215812198420935,-2.856727937564172
0.2590000000000002,-0.45500580675933383,-2.847684775124488
0.2600000000000002,-0.4578443914183231,-2.8385846589893013
0.2610000000000002,-0.460673819189484,-2.829427771160935
0.2620000000000002,-0.46349403348426116,-2.8202142947771454
0.2630000000000002,-0.4663049778983686,-2.81094441410746
0.2640000000000002,-0.4691065962129181,-2.8016183145494926
0.2650000000000002,-0.47189883239554337,-2.7922361826252344
0.2660000000000002,-0.4746816306015207,-2.7827982059773237
0.2670000000000002,-0.47745493517488596,-2.7733045733652935
0.2680000000000002,-0.48021869064954775,-2.763755474661796
